millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
325020,1758488709.80,-1087.77,1886.37,-486.74,
325418,1758488710.20,-966.70,1780.12,-423.52,
325815,1758488710.60,-830.77,1593.41,-320.00,
326215,1758488711.00,-790.85,1476.11,-217.05,
326615,1758488711.40,-842.67,1711.48,-83.23,
327013,1758488711.80,-904.78,1529.48,79.96,
327416,1758488712.20,-683.65,1310.96,164.09,
327816,1758488712.60,-208.42,802.86,190.11,
328220,1758488713.00,157.27,614.25,296.67,
328621,1758488713.40,685.77,-7.17,383.07,
329021,1758488713.80,1150.69,-666.22,424.23,
329419,1758488714.20,1143.25,-1357.10,496.57,
329820,1758488714.60,1348.33,-1646.28,374.61,
330218,1758488715.00,1459.47,-1455.99,42.66,
330620,1758488715.40,1308.68,-1065.76,-199.55,
331021,1758488715.80,1009.99,-669.61,-163.26,
331419,1758488716.20,886.25,-506.86,-38.19,
331821,1758488716.60,782.54,-649.38,139.47,
332217,1758488717.00,619.92,-604.77,189.17,
332621,1758488717.40,473.24,-460.31,123.40,
333016,1758488717.80,311.22,-139.01,-30.12,
333416,1758488718.20,443.54,615.08,-192.58,
333817,1758488718.60,519.58,1055.92,-404.93,
334217,1758488719.00,152.91,921.03,-505.58,
334616,1758488719.40,-90.50,688.79,-452.98,
335014,1758488719.80,-214.87,70.39,-285.91,
335422,1758488720.20,-347.47,-566.02,167.47,
335821,1758488720.60,-377.26,-1268.01,375.11,
336221,1758488721.00,-369.27,-1775.51,329.99,
336621,1758488721.40,-72.56,-1668.83,215.93,
337021,1758488721.80,-128.05,-1152.65,118.51,
337421,1758488722.20,-388.82,-679.24,71.26,
337821,1758488722.60,-580.44,-348.24,96.50,
338218,1758488723.00,-438.45,-400.50,179.27,
338620,1758488723.40,-320.12,-363.21,392.04,
339022,1758488723.80,-329.31,-403.42,496.72,
339422,1758488724.20,-424.99,-304.84,403.73,
339823,1758488724.60,-678.66,-49.01,191.18,
340222,1758488725.00,-764.11,214.36,-150.55,
340618,1758488725.40,-742.20,609.51,-290.83,
341018,1758488725.80,-815.93,1265.82,-445.82,
341417,1758488726.20,-796.49,1754.15,-576.50,
341818,1758488726.60,-580.01,1583.05,-668.00,
342216,1758488727.00,-452.27,1083.92,-603.57,
342620,1758488727.40,-564.72,642.68,-369.83,
343021,1758488727.80,-608.17,273.21,-59.15,
343448,1758488728.20,-533.55,-690.89,314.95,
343824,1758488728.60,-45.82,-1269.57,605.68,
344222,1758488729.00,489.68,-1211.52,672.53,
344623,1758488729.40,595.95,-709.43,461.10,
345022,1758488729.80,658.99,-107.47,258.29,
345428,1758488730.20,457.41,-48.29,111.05,
345823,1758488730.60,396.84,-210.06,381.36,
346224,1758488731.00,328.65,-562.14,640.65,
346625,1758488731.40,376.99,-877.94,784.64,
347023,1758488731.80,426.15,-1155.68,772.12,
347422,1758488732.20,352.89,-1082.41,571.56,
347822,1758488732.60,152.18,-695.27,201.20,
348221,1758488733.00,-85.88,-111.61,-95.00,
348620,1758488733.40,-227.15,535.55,-250.41,
349021,1758488733.80,-135.51,988.07,-292.09,
349419,1758488734.20,-10.74,1290.83,-246.74,
349819,1758488734.60,46.89,1547.75,-227.04,
350218,1758488735.00,95.04,1760.48,-198.61,
350621,1758488735.40,43.35,1947.00,-159.09,
351018,1758488735.80,49.41,1463.28,-77.40,
351424,1758488736.20,40.88,746.93,78.43,
351825,1758488736.60,-176.68,236.92,203.56,
352225,1758488737.00,-161.94,-179.54,201.88,
352625,1758488737.40,-97.68,-313.69,127.69,
353027,1758488737.80,-177.18,-203.15,-106.11,
353421,1758488738.20,-202.82,448.16,-331.53,
353841,1758488738.60,43.53,562.31,-290.36,
354219,1758488739.00,92.59,556.05,-179.83,
354619,1758488739.40,134.31,452.40,-115.01,
355022,1758488739.80,214.74,156.70,-1.42,
355427,1758488740.20,217.92,-39.63,248.94,
355824,1758488740.60,462.72,-449.92,501.40,
356226,1758488741.00,606.83,-1088.82,672.58,
356626,1758488741.40,635.93,-1565.53,770.37,
357023,1758488741.80,981.51,-1604.25,815.87,
357425,1758488742.20,1283.48,-1370.06,681.33,
357826,1758488742.60,1390.27,-806.56,343.35,
358222,1758488743.00,1093.12,-218.51,26.51,
358623,1758488743.40,674.09,442.44,-197.23,
359022,1758488743.80,392.87,668.32,-413.04,
359420,1758488744.20,303.23,755.07,-420.96,
359821,1758488744.60,520.30,957.95,-493.98,
360220,1758488745.00,841.82,1199.18,-567.99,
360619,1758488745.40,1131.50,1398.18,-654.89,
361019,1758488745.80,1296.39,1490.89,-735.19,
361421,1758488746.20,762.04,1263.56,-788.81,
361822,1758488746.60,270.09,501.78,-775.95,
362223,1758488747.00,-269.52,-359.78,-568.68,
362624,1758488747.40,-744.96,-920.10,-273.44,
363028,1758488747.80,-1264.73,-1473.56,-9.11,
363454,1758488748.20,-1746.99,-1958.82,215.07,
363829,1758488748.60,-1959.07,-1964.55,326.98,
364228,1758488749.00,-1232.65,-1631.21,413.08,
364631,1758488749.40,-360.97,-1378.35,375.12,
365028,1758488749.80,-29.95,-1011.91,165.56,
365429,1758488750.20,-321.04,-954.69,-12.11,
365828,1758488750.60,-861.48,-800.10,-171.18,
366230,1758488751.00,-1270.37,-404.91,-254.56,
366627,1758488751.40,-1183.64,-70.95,-144.67,
367028,1758488751.80,-1155.52,240.33,-58.88,
367427,1758488752.20,-960.68,691.23,-149.64,
367828,1758488752.60,-786.81,1244.75,-280.64,
368228,1758488753.00,-738.60,1569.75,-463.98,
368625,1758488753.40,-730.23,1570.34,-610.53,
369023,1758488753.80,-737.62,1310.47,-640.48,
369422,1758488754.20,-923.38,909.77,-669.14,
369826,1758488754.60,-1246.70,536.47,-642.38,
370224,1758488755.00,-1337.24,306.61,-555.50,
370621,1758488755.40,-1297.73,80.84,-508.88,
371022,1758488755.80,-1076.60,-87.94,-395.40,
371422,1758488756.20,-879.64,138.42,-162.91,
371823,1758488756.60,-643.71,364.66,-49.45,
372223,1758488757.00,-349.66,74.22,135.40,
372631,1758488757.40,-150.89,1.85,355.76,
373028,1758488757.80,-123.07,-125.72,502.27,
373430,1758488758.20,193.26,-162.52,480.52,
373828,1758488758.60,567.47,-127.45,472.19,
374227,1758488759.00,721.71,-329.44,567.25,
374627,1758488759.40,650.28,-158.33,808.70,
375030,1758488759.80,885.19,-398.43,1160.51,
375429,1758488760.20,1147.34,-584.68,1344.27,
375831,1758488760.60,1272.72,-624.74,1230.24,
376231,1758488761.00,1314.78,-446.67,903.99,
376627,1758488761.40,1242.06,-294.35,437.21,
377029,1758488761.80,1092.57,181.30,62.61,
377428,1758488762.20,1126.46,426.90,-240.24,
377830,1758488762.60,1274.89,614.53,-227.83,
378228,1758488763.00,1343.23,668.61,-229.90,
378630,1758488763.40,1222.55,563.43,-297.86,
379030,1758488763.80,951.13,415.01,-312.36,
379431,1758488764.20,669.53,234.39,-297.63,
379828,1758488764.60,354.30,31.32,-283.58,
380229,1758488765.00,124.50,-153.45,-226.25,
380629,1758488765.40,58.90,-302.57,-125.33,
381029,1758488765.80,34.97,-402.64,-140.72,
381431,1758488766.20,-16.00,-347.31,-178.28,
381833,1758488766.60,-87.70,-265.53,-192.41,
382232,1758488767.00,-159.34,-197.03,-256.90,
382632,1758488767.40,-214.14,-140.41,-311.82,
383031,1758488767.80,-41.41,-77.37,-343.16,
383454,1758488768.20,173.31,21.73,-352.65,
383828,1758488768.60,249.66,230.70,-329.61,
384226,1758488769.00,106.62,-21.28,-226.82,
384633,1758488769.40,-42.50,-440.05,8.71,
385034,1758488769.80,-41.52,-669.45,246.55,
385434,1758488770.20,125.30,-659.00,357.61,
385832,1758488770.60,497.20,-456.41,426.75,
386238,1758488771.00,720.97,-447.39,505.84,
386637,1758488771.40,713.67,-512.67,422.52,
387033,1758488771.80,778.28,-338.63,150.24,
387433,1758488772.20,442.05,-41.01,-114.33,
387835,1758488772.60,-87.85,69.86,-315.16,
388234,1758488773.00,-488.58,209.19,-409.27,
388633,1758488773.40,-640.13,171.62,-452.78,
389028,1758488773.80,-648.82,140.30,-459.52,
389433,1758488774.20,-572.48,245.95,-426.10,
389833,1758488774.60,-413.80,294.51,-326.59,
390232,1758488775.00,-237.63,82.33,-173.86,
390633,1758488775.40,-96.60,-87.82,108.91,
391035,1758488775.80,119.61,-269.63,429.14,
391434,1758488776.20,300.02,-407.33,630.93,
391835,1758488776.60,234.63,-506.08,703.14,
392234,1758488777.00,140.11,-389.26,650.20,
392634,1758488777.40,54.22,-135.34,346.96,
393034,1758488777.80,-144.75,290.52,34.81,
393434,1758488778.20,-232.70,597.45,-178.79,
393834,1758488778.60,-381.55,686.53,-292.54,
394234,1758488779.00,-484.59,647.33,-289.49,
394635,1758488779.40,-578.59,670.59,-300.59,
395034,1758488779.80,-738.64,659.44,-307.19,
395431,1758488780.20,-795.42,736.19,-293.50,
395833,1758488780.60,-767.15,732.40,-226.77,
396234,1758488781.00,-655.05,679.09,-129.27,
396630,1758488781.40,-462.00,355.61,85.79,
397037,1758488781.80,-283.40,-12.98,428.04,
397437,1758488782.20,-28.57,-410.94,691.11,
397836,1758488782.60,8.62,-905.80,723.30,
398236,1758488783.00,98.43,-1203.08,724.15,
398637,1758488783.40,167.69,-1069.48,522.73,
399035,1758488783.80,249.19,-922.34,214.39,
399434,1758488784.20,125.78,-436.34,-20.76,
399835,1758488784.60,-129.10,-67.12,-231.63,
400237,1758488785.00,-483.81,216.96,-425.52,
400636,1758488785.40,-803.99,246.01,-349.16,
401033,1758488785.80,-921.40,69.72,-194.03,
401437,1758488786.20,-857.15,-3.88,-41.36,
401837,1758488786.60,-616.84,187.04,-93.17,
402235,1758488787.00,-360.93,421.40,-238.07,
402633,1758488787.40,-264.32,570.73,-345.23,
403034,1758488787.80,-84.19,547.88,-280.89,
403463,1758488788.20,68.30,420.65,-132.73,
403854,1758488788.60,210.75,161.78,4.62,
404236,1758488789.00,159.76,50.12,24.94,
404639,1758488789.40,213.02,107.04,-16.88,
405038,1758488789.80,303.09,199.44,-69.18,
405446,1758488790.20,329.40,252.78,31.27,
405836,1758488790.60,440.50,207.15,187.70,
406239,1758488791.00,556.03,148.90,305.92,
406637,1758488791.40,611.26,31.44,336.93,
407038,1758488791.80,601.07,-14.95,295.95,
407437,1758488792.20,598.65,-53.47,203.03,
407838,1758488792.60,601.75,29.53,51.30,
408239,1758488793.00,517.26,142.87,-141.82,
408637,1758488793.40,348.41,195.64,-252.20,
409036,1758488793.80,160.57,100.97,-294.50,
409436,1758488794.20,-99.53,-12.76,-322.94,
409837,1758488794.60,-366.38,-25.05,-407.16,
410233,1758488795.00,-510.96,29.02,-425.62,
410634,1758488795.40,-827.17,-45.51,-424.33,
411031,1758488795.80,-483.11,23.25,-368.16,
411435,1758488796.20,-269.41,-23.44,-223.04,
411843,1758488796.60,-73.13,-47.39,-141.54,
412237,1758488797.00,90.03,-35.65,-37.44,
412638,1758488797.40,223.18,-45.62,13.00,
413036,1758488797.80,329.21,-5.80,-2.93,
413438,1758488798.20,441.27,-174.51,45.42,
413840,1758488798.60,418.51,-457.56,96.04,
414245,1758488799.00,545.85,-512.06,98.20,
414639,1758488799.40,562.23,-383.26,22.97,
415039,1758488799.80,625.23,-387.62,49.07,
415437,1758488800.20,541.05,-366.76,104.03,
415839,1758488800.60,446.18,-441.77,179.99,
416239,1758488801.00,283.25,-509.21,290.66,
416643,1758488801.40,99.08,-320.83,285.26,
417039,1758488801.80,-7.32,-128.28,194.58,
417437,1758488802.20,-49.22,-35.41,105.10,
417840,1758488802.60,-205.68,-39.47,92.52,
418235,1758488803.00,-298.59,-337.29,158.74,
418641,1758488803.40,-140.74,-400.89,273.11,
419041,1758488803.80,78.20,-324.68,420.61,
419441,1758488804.20,326.13,-252.68,401.48,
419840,1758488804.60,409.18,-135.91,99.30,
420239,1758488805.00,281.62,278.26,-101.93,
420641,1758488805.40,63.32,593.05,-267.92,
421038,1758488805.80,-117.01,572.36,-313.33,
421441,1758488806.20,-202.29,465.61,-149.87,
421840,1758488806.60,-315.74,92.25,16.95,
422241,1758488807.00,-312.32,-140.30,95.30,
422640,1758488807.40,-184.56,-8.11,61.58,
423039,1758488807.80,-187.51,265.51,-118.59,
423469,1758488808.20,-249.46,399.78,-114.65,
423840,1758488808.60,-250.79,468.14,-75.62,
424242,1758488809.00,-203.19,465.48,32.81,
424642,1758488809.40,-147.52,421.39,91.77,
425040,1758488809.80,-116.78,361.38,110.57,
425440,1758488810.20,-30.60,240.20,194.89,
425841,1758488810.60,83.04,137.39,323.41,
426245,1758488811.00,124.98,198.70,217.85,
426639,1758488811.40,93.13,308.66,17.62,
427040,1758488811.80,108.95,305.55,-44.36,
427442,1758488812.20,-65.42,163.96,-88.90,
427845,1758488812.60,-297.43,27.50,-91.63,
428241,1758488813.00,-327.29,-52.06,-19.59,
428641,1758488813.40,-269.96,-19.10,-13.36,
429042,1758488813.80,-158.76,38.07,-28.79,
429443,1758488814.20,-82.47,80.23,-48.76,
429844,1758488814.60,-142.01,59.20,-142.52,
430240,1758488815.00,-202.66,5.62,-226.28,
430648,1758488815.40,-217.04,-73.04,-157.87,
431042,1758488815.80,-178.49,-171.05,-23.22,
431444,1758488816.20,-67.66,-249.30,126.87,
431843,1758488816.60,98.93,-276.74,226.99,
432244,1758488817.00,215.45,-247.34,171.06,
432643,1758488817.40,228.32,-302.31,67.77,
433047,1758488817.80,142.31,-359.05,50.09,
433446,1758488818.20,54.61,-398.57,-26.49,
433846,1758488818.60,-47.86,-275.46,-210.35,
434243,1758488819.00,-175.11,-55.44,-330.43,
434644,1758488819.40,-152.18,137.61,-468.79,
435043,1758488819.80,21.32,272.60,-366.21,
435439,1758488820.20,-235.07,176.36,-242.78,
435840,1758488820.60,-602.48,77.90,-162.07,
436239,1758488821.00,-305.83,110.07,-66.13,
436643,1758488821.40,-44.59,49.52,48.17,
437043,1758488821.80,46.
