epoch,link,log type,data
0,0,BSYS,5,INFO,Firmware SHA: 7C2E60DA
1758488420.61,2,DATA,RBRD,29500,1480560
1758488420.82,1,DATA,SOFT2,28520,3057
1758488421.11,2,DATA,RBRD,30000,1504480
1758488421.32,1,DATA,SOFT2,29020,3057
1758488421.61,2,DATA,RBRD,30500,1518250
1758488421.82,1,DATA,SOFT2,29520,3057
1758488422.11,2,DATA,RBRD,31000,1518770
1758488422.32,1,DATA,SOFT2,30020,3057
1758488422.61,2,DATA,RBRD,31500,1509840
1758488422.82,1,DATA,SOFT2,30520,3057
1758488423.11,2,DATA,RBRD,32000,1494920
1758488423.32,1,DATA,SOFT2,31020,3057
1758488423.61,2,DATA,RBRD,32500,1479040
1758488423.82,1,DATA,SOFT2,31520,3058
1758488424.11,2,DATA,RBRD,33000,1469690
1758488424.32,1,DATA,SOFT2,32020,3058
1758488424.61,2,DATA,RBRD,33500,1466200
1758488424.82,1,DATA,SOFT2,32520,3057
1758488425.11,2,DATA,RBRD,34000,1464250
1758488425.32,1,DATA,SOFT2,33020,3058
1758488425.61,2,DATA,RBRD,34500,1462590
1758488425.82,1,DATA,SOFT2,33520,3057
1758488426.11,2,DATA,RBRD,35000,1461080
1758488426.32,1,DATA,SOFT2,34020,3058
1758488426.61,2,DATA,RBRD,35500,1458550
1758488426.82,1,DATA,SOFT2,34520,3057
1758488427.11,2,DATA,RBRD,36000,1457020
1758488427.32,1,DATA,SOFT2,35020,3058
1758488427.61,2,DATA,RBRD,36500,1457820
1758488427.82,1,DATA,SOFT2,35520,3057
1758488428.00,0,BSYS,37745,INFO,etmark 3496438784
1758488428.11,2,DATA,RBRD,37000,1465000
1758488428.32,1,DATA,SOFT2,36020,3057
1758488428.61,2,DATA,RBRD,37500,1479640
1758488428.82,1,DATA,SOFT2,36520,3057
1758488429.11,2,DATA,RBRD,38000,1495630
1758488429.32,1,DATA,SOFT2,37020,3057
1758488429.61,2,DATA,RBRD,38500,1505740
1758488429.82,1,DATA,SOFT2,37520,3057
1758488430.11,2,DATA,RBRD,39000,1506270
1758488430.32,1,DATA,SOFT2,38020,3057
1758488430.61,2,DATA,RBRD,39500,1494640
1758488430.82,1,DATA,SOFT2,38520,3057
1758488431.11,2,DATA,RBRD,40000,1476090
1758488431.32,1,DATA,SOFT2,39020,3058
1758488431.61,2,DATA,RBRD,40500,1461230
1758488431.82,1,DATA,SOFT2,39520,3058
1758488432.11,2,DATA,RBRD,41000,1455800
1758488432.32,1,DATA,SOFT2,40020,3058
1758488432.61,2,DATA,RBRD,41500,1454490
1758488432.82,1,DATA,SOFT2,40520,3057
1758488433.11,2,DATA,RBRD,42000,1456810
1758488433.32,1,DATA,SOFT2,41020,3058
1758488433.61,2,DATA,RBRD,42500,1462010
1758488433.82,1,DATA,SOFT2,41520,3058
1758488434.11,2,DATA,RBRD,43000,1468650
1758488434.32,1,DATA,SOFT2,42020,3058
1758488434.61,2,DATA,RBRD,43500,1475260
1758488434.82,1,DATA,SOFT2,42520,3057
1758488435.11,2,DATA,RBRD,44000,1482080
1758488435.32,1,DATA,SOFT2,43020,3057
1758488435.61,2,DATA,RBRD,44500,1488290
1758488435.82,1,DATA,SOFT2,43520,3058
1758488436.11,2,DATA,RBRD,45000,1493530
1758488436.32,1,DATA,SOFT2,44020,3057
1758488436.61,2,DATA,RBRD,45500,1496190
1758488436.82,1,DATA,SOFT2,44520,3058
1758488437.11,2,DATA,RBRD,46000,1494260
1758488437.32,1,DATA,SOFT2,45020,3058
1758488437.61,2,DATA,RBRD,46500,1488090
1758488437.82,1,DATA,SOFT2,45520,3057
1758488438.00,0,BSYS,47745,INFO,etmark 3496441344
1758488438.11,2,DATA,RBRD,47000,1479790
1758488438.32,1,DATA,SOFT2,46020,3057
1758488438.61,2,DATA,RBRD,47500,1473050
1758488438.82,1,DATA,SOFT2,46520,3057
1758488439.11,2,DATA,RBRD,48000,1470550
1758488439.32,1,DATA,SOFT2,47020,3058
1758488439.61,2,DATA,RBRD,48500,1469490
1758488439.82,1,DATA,SOFT2,47520,3058
1758488440.11,2,DATA,RBRD,49000,1468620
1758488440.32,1,DATA,SOFT2,48020,3057
